name,address,city,state,zip_code,phone,website,facebook,instagram,contact_email,booking_email,description,venue_type,capacity,genres,booking_contact,booking_process,typical_payment,equipment_provided,past_performers,latitude,longitude
The Ritz,2820 Industrial Dr,Raleigh,NC,27609,,https://www.ritzraleigh.com,,,TheRitzRaleigh@LiveNation.com,,Premier mid-size venue hosting national touring acts and emerging artists. Features a spacious main floor and balcony with excellent sound system.,music_venue,1400,"{""Rock"",""Indie"",""Alternative"",""Electronic""}",,,,,{},,
The Pour House Music Hall & Record Shop,224 S Blount St,Raleigh,NC,27601,,https://pourhouseraleigh.com,,,booking@the-pour-house.com,,"Record shop by day, intimate music venue by night featuring indie, rock, and alternative acts. Known for supporting local and touring bands.",music_venue,289,"{""Indie"",""Rock"",""Alternative"",""Punk""}",,,,,{},,
Motorco Music Hall,723 Rigsbee Avenue,Durham,NC,27701,,https://motorcomusic.com,,,showinfo@motorcomusic.com,,Durham's premier independent music venue in a restored automotive dealership. Books diverse genres from indie rock to electronic and soul.,music_venue,450,"{""Indie Rock"",""Electronic"",""Soul"",""Alternative""}",,,,,{},,
Lincoln Theatre,126 E Cabarrus St,Raleigh,NC,27601,,https://www.lincolntheatre.com,,,info@lincolntheatre.com,,"Historic venue featuring live music, comedy, and special events. Intimate atmosphere perfect for indie and alternative acts.",music_venue,750,"{""Indie"",""Alternative"",""Comedy"",""Folk""}",,,,,{},,
Kings,14 W Martin St,Raleigh,NC,27601,,https://www.kingsraleigh.com,,,booking@kingsraleigh.com,,"Downtown venue with bowling, arcade games, and live music stage. Books indie bands, DJs, and hosts regular music nights.",bar,300,"{""Indie"",""Electronic"",""DJ Sets""}",,,,,{},,
Red Hat Amphitheater,500 S McDowell St,Raleigh,NC,27601,,https://www.redhatamphitheater.com,,,info@redhatamphitheater.com,,Outdoor amphitheater in downtown Raleigh hosting major touring acts. Summer concert series features established and emerging artists.,amphitheater,5990,"{""Rock"",""Pop"",""Country"",""Alternative""}",,,,,{},,
Cat's Cradle,300 E Main St,Carrboro,NC,27510,,https://catscradle.com,,,booking@catscradle.com,,"Legendary indie venue in Carrboro known for breaking emerging artists. Books alternative, indie rock, folk, and experimental acts.",music_venue,750,"{""Alternative"",""Indie Rock"",""Folk"",""Experimental""}",,,,,{},,
The Pinhook,117 W Main St,Durham,NC,27701,,https://www.thepinhook.com,,,booking@thepinhook.com,,"Intimate Durham venue supporting DIY music and arts. Books punk, indie, experimental, and LGBTQ+ focused events.",music_venue,150,"{""Punk"",""Indie"",""Experimental"",""DIY""}",,,,,{},,
Fletcher Opera Theater,2 E South St,Raleigh,NC,27601,,https://www.martinmariettacenter.com,,,info@martinmariettacenter.com,,"Part of Martin Marietta Center for the Performing Arts, hosts larger touring acts and special concerts. Beautiful acoustics ideal for singer-songwriters.",theater,1700,"{""Singer-Songwriter"",""Classical"",""Folk"",""World Music""}",,,,,{},,
The Carolina Theatre,309 W Morgan St,Durham,NC,27701,,https://www.carolinatheatre.org,,,programs@carolinatheatre.org,,"Historic 1926 theater hosting films and live performances. Books folk, indie, world music, and acoustic performances.",theater,1048,"{""Folk"",""Indie"",""World Music"",""Acoustic""}",,,,,{},,
Slim's Downtown,227 S Wilmington St,Raleigh,NC,27601,,https://slimsdivebar.com,,,slimsdivebar@gmail.com,,"Dive bar atmosphere with regular live music featuring punk, metal, and indie rock. Supportive of local bands and touring acts.",bar,200,"{""Punk"",""Metal"",""Indie Rock""}",,,,,{},,
